rank,team,games,points_scored,total_yards,offensive_plays,yards_per_play,turnovers_lost,fumbles_lost,1st_downs,passes_completed,passes_attempted,passing_yards,passing_touchdowns,passing_interceptions,net_yards_per_pass_attempt,passing_1st_downs,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_yards_per_attempt,rushing_1st_downs,penalties,penalty_yards,1st_down_penalties,percentage_scoring_drives,percentage_turnover_drives,expected_points
1,Baltimore Ravens,3,99,1141,166,6.9,3,1,55,56,88,735,10,2,7.8,32,72,406,2,5.6,18,8,44,5,42.9,8.6,35.63
2,Detroit Lions,3,95,1227,203,6.0,2,0,63,66,112,716,7,2,6.2,38,87,511,5,5.9,20,15,129,5,40.5,5.4,31.05
3,Buffalo Bills,3,91,1324,213,6.2,5,3,77,94,134,987,9,2,7.0,49,72,337,1,4.7,22,20,136,6,46.7,16.7,47.46
4,Kansas City Chiefs,3,88,1122,180,6.2,3,2,68,74,110,843,8,1,7.5,45,68,279,2,4.1,15,15,124,8,45.2,6.5,40.73
5,Philadelphia Eagles,3,86,1341,208,6.4,1,0,73,66,98,890,4,1,8.5,41,103,451,6,4.4,26,23,173,6,39.4,3.0,45.06
26,Houston Texans,3,49,862,184,4.7,3,1,52,62,107,613,3,2,5.4,27,70,249,1,3.6,17,17,159,8,30.6,8.3,-16.08
27,Green Bay Packers,3,48,1067,188,5.7,5,3,61,72,99,686,4,2,6.4,34,81,381,2,4.7,24,13,100,3,25.0,15.6,10.9
28,Seattle Seahawks,3,47,889,165,5.4,5,2,56,79,103,665,4,3,6.1,34,56,224,0,4.0,14,21,230,8,32.0,16.0,10.01
29,San Francisco 49ers,3,47,971,189,5.1,5,3,55,46,81,518,2,2,5.9,22,101,453,3,4.5,25,20,165,8,25.7,14.3,-11.26
30,Dallas Cowboys,3,46,972,184,5.3,2,1,54,61,104,618,2,1,5.7,31,75,354,2,4.7,20,23,188,3,31.3,6.3,-0.21
31,Denver Broncos,3,43,1044,199,5.2,3,2,54,63,106,691,2,1,6.0,32,84,353,1,4.2,15,30,236,7,30.3,9.1,-0.27
32,Indianapolis Colts,3,40,994,207,4.8,6,2,61,75,117,681,3,4,5.3,38,78,313,1,4.0,19,16,153,4,22.9,17.1,-22.1
